date,close,high,low,open,volume
2010/9/15,20.58447838,20.60371591,20.1843297,20.28436797,2046600
2010/9/16,20.48635674,20.5498419,20.34014887,20.49405131,1920000
2010/9/17,20.34592247,20.65565154,20.143924,20.65565154,3868800
2010/9/20,20.82301903,20.8557215,20.41132977,20.45942359,3249300
2010/9/21,20.46711922,20.83263887,20.40363405,20.83263887,3442800
2010/9/22,20.19586754,20.63256698,20.0939073,20.38439887,2807700
2010/9/23,19.82650375,20.17086176,19.81111461,20.02272967,2649600
2010/9/24,20.57869911,20.73452575,20.08043872,20.12276437,3132000
2010/9/27,20.66526794,20.84225628,20.56138353,20.73837187,3075600
2010/9/28,20.81755447,20.89659063,20.29321245,20.66912066,3042900
2010/9/29,20.58623123,20.78864202,20.4859877,20.68261627,2244000
2010/9/30,20.60743523,21.0488871,20.49370132,20.75779942,2724600
2010/10/1,20.8021431,21.01226431,20.53804272,20.85997414,4000800
2010/10/4,20.59201241,20.956354,20.44165043,20.77514617,2564100
2010/10/5,21.59636307,21.63298894,20.59779945,20.8638257,4556100
2010/10/6,21.69468117,21.70624782,21.40359341,21.61757311,2723100
2010/10/7,21.73323441,21.97612739,21.62720864,21.83925796,3581700
2010/10/8,21.85660172,21.92600158,21.57708292,21.83925285,1830300
2010/10/11,21.85852623,21.97419045,21.73129757,21.83924923,1784400
2010/10/12,22.26527786,22.42720645,21.78527211,21.92214148,5639100
2010/10/13,22.55059624,22.90915579,22.18818481,22.18818481,4214400
2010/10/14,22.39830208,22.81276446,22.20938383,22.44649461,3376800
2010/10/15,22.44071198,22.67975089,22.25565001,22.5679429,2517900
2010/10/18,22.46962357,22.61034926,22.18817659,22.32890008,3255600
2010/10/19,21.90094185,22.4696224,21.79491831,22.21130652,4012200
2010/10/20,22.38480759,22.56022882,21.93757344,21.99347633,3713400
2010/10/21,22.29805565,22.74721567,21.61949306,22.36359703,3443400
2010/10/22,22.33661461,22.64697936,22.29998873,22.30769909,2352300
2010/10/25,22.31926537,22.64505084,22.30384243,22.55059171,2042700
2010/10/26,22.35781288,22.43877719,22.15154583,22.22672792,2417400
2010/10/27,22.36359978,22.41564859,22.08986314,22.08986314,2573400
2010/10/28,22.13227081,22.26335579,21.23394856,22.09564494,6691200
2010/10/29,22.111063,22.2055221,21.92407296,21.98383212,2155200
2010/11/1,22.57758141,22.61806357,22.13998573,22.20167305,2955000
2010/11/2,22.86673546,22.99011007,22.75107121,22.83781995,2687400
2010/11/3,23.04987144,23.07300474,22.72022974,22.86480951,2418900
2010/11/4,23.54914856,23.63589508,23.06528648,23.22336101,3065700
2010/11/5,24.01758957,24.09662795,23.49710374,23.50674225,2865300
2010/11/8,23.50288773,23.93084483,23.39493603,23.92891669,2514900
2010/11/9,23.4219265,23.76699118,23.31204665,23.61662696,3283200
2010/11/10,23.1597538,23.42578229,22.98433035,23.34288982,4756800
2010/11/11,23.21373749,23.30626849,22.90530081,22.90530081,2045700
2010/11/12,22.81083679,23.18481702,22.64119776,22.93806772,2440500
2010/11/15,22.84938812,23.1154166,22.77613416,22.89758285,1575000
2010/11/16,22.03396225,22.59493262,21.94143126,22.59493262,4530300
2010/11/17,22.27492714,22.39059142,21.9973342,22.17661394,3501900
2010/11/18,22.54480171,22.77034576,22.5158862,22.60070679,2266200
2010/11/19,22.40408325,22.6508325,22.18624952,22.48890165,2265000
2010/11/22,22.33275986,22.40793976,22.15155198,22.28263698,2138700
2010/11/23,21.73323441,22.06673022,21.71973962,22.0050429,3038400
2010/11/24,22.36745453,22.46769586,21.89130491,21.89130491,3294300
2010/11/26,21.98190308,22.15925461,21.96262607,22.05322888,946200
2010/11/29,22.07444382,22.14962593,21.69468136,21.81227379,2010300
2010/11/30,21.99347115,22.14383532,21.77371151,21.83347067,2921700
2010/12/1,22.67588806,22.69902135,22.2941976,22.43106699,2537400
2010/12/2,23.12698364,23.15782509,22.68745986,22.71252129,2487900
2010/12/3,23.13662338,23.18095963,22.64119668,23.01517468,2466000
2010/12/6,22.96312332,23.05758022,22.86287979,23.00553141,3683100
2010/12/7,22.91299248,23.27347769,22.87443848,23.16938012,3517200
2010/12/8,22.92456245,23.0170934,22.71444135,22.97275496,2643300
2010/12/9,22.63926315,23.12890531,22.36167028,23.0999898,6362400
2010/12/10,22.75879288,22.87445718,22.49469466,22.73758772,4567800
2010/12/13,22.63347816,22.85131187,22.56022422,22.85131187,1925700
2010/12/14,22.44648552,22.70865763,22.38672636,22.58721118,2006100
2010/12/15,22.51011467,22.77228694,22.33854746,22.37324741,2934000
2010/12/16,22.4214325,22.55058934,22.22866019,22.54673526,1873800
2010/12/17,22.09178925,22.30769483,21.81419635,22.21130758,6952200
2010/12/20,21.53274345,21.81226444,21.33225863,21.71202093,6734400
2010/12/21,21.57130623,21.65034463,21.52118555,21.56744994,4430700
